ArenaCode,Venue
1,Gainbridge Fieldhouse
2,Madison Square Garden
3,Rocket Mortgage FieldHouse
4,Amalie Arena
5,State Farm Arena
6,Spectrum Center
7,TD Garden
8,Chase Center
9,Golden 1 Center
10,Moda Center
11,Vivint Arena
12,United Center
13,FTX Arena
14,Capital One Arena
15,Amway Center
16,Little Caesars Arena
17,AT&T Center
18,Fiserv Forum
19,Paycom Center
20,Barclays Center
21,Wells Fargo Center
22,Target Center
23,Smoothie King Center
24,American Airlines Center
25,Toyata Center
26,FedEx Forum
27,Ball Arena
28,Footprint Center
29,crypto.com Arena
30,Scotiabank Arena
31,Toyota Center
