MatchNumber,SeasonID,Date,Opponent,Win/Loss,KnicksScore,OppScore,ArenaCode
1,1,12/23/2020,Indiana Pacers,L,107,121,1
2,1,12/26/2020,Philadelphia 76ers,L,89,109,2
3,1,12/27/2020,Milwaukee Bucks,W,130,110,2
4,1,12/29/2020,Cleveland Cavaliers,W,95,86,3
5,1,12/31/2020,Toronto Raptors,L,83,100,4
6,1,1/2/2021,Indiana Pacers,W,106,102,1
7,1,1/4/2021,Atlanta Hawks,W,113,108,5
8,1,1/6/2021,Utah Jazz,W,112,100,2
9,1,1/8/2021,Oklahoma City Thunder,L,89,101,2
10,1,1/10/2021,Denver Nuggets,L,89,114,2
11,1,1/11/2021,Charlotte Hornets,L,88,109,6
12,1,1/13/2021,Brooklyn Nets,L,109,116,2
13,1,1/15/2021,Cleveland Cavaliers,L,103,106,3
14,1,1/17/2021,Boston Celtics,W,105,75,7
15,1,1/18/2021,Orlando Magic,W,91,84,2
16,1,1/21/2021,Golden State Warriors,W,119,104,8
17,1,1/22/2021,Sacramento Kings,L,94,103,9
18,1,1/24/2021,Portland Trail Blazers,L,113,116,10
19,1,1/26/2021,Utah Jazz,L,94,108,11
20,1,1/29/2021,Cleveland Cavaliers,W,102,81,2
21,1,1/31/2021,Los Angeles Clippers,L,115,129,2
22,1,2/1/2021,Chicago Bulls,L,102,110,12
23,1,2/3/2021,Chicago Bulls,W,107,103,12
24,1,2/6/2021,Portland Trail Blazers,W,110,99,2
25,1,2/7/2021,Miami Heat,L,103,109,2
26,1,2/9/2021,Miami Heat,L,96,98,13
27,1,2/12/2021,Washington Wizards,W,109,91,14
28,1,2/13/2021,Houston Rockets,W,121,99,2
29,1,2/15/2021,Atlanta Hawks,W,123,112,2
30,1,2/17/2021,Orlando Magic,L,89,107,15
31,1,2/21/2021,Minnesota Timberwolves,W,103,99,2
32,1,2/23/2021,Golden State Warriors,L,106,114,2
33,1,2/25/2021,Sacramento Kings,W,140,121,2
34,1,2/27/2021,Indiana Pacers,W,110,107,2
35,1,2/28/2021,Detroit Pistons,W,109,90,16
36,1,3/2/2021,San Antonio Spurs,L,93,119,17
37,1,3/4/2021,Detroit Pistons,W,114,104,2
38,1,3/11/2021,Milwaukee Bucks,L,101,134,18
39,1,3/13/2021,Oklahoma City Thunder,W,119,97,19
40,1,3/15/2021,Brooklyn Nets,L,112,117,20
41,1,3/16/2021,Philadelphia 76ers,L,96,99,21
42,1,3/18/2021,Orlando Magic,W,94,93,2
43,1,3/21/2021,Philadelphia 76ers,L,100,101,2
44,1,3/23/2021,Washington Wizards,W,131,113,2
45,1,3/25/2021,Washington Wizards,W,106,102,2
46,1,3/27/2021,Milwaukee Bucks,W,102,96,18
47,1,3/29/2021,Miami Heat,L,88,98,2
48,1,3/31/2021,Minnesota Timberwolves,L,101,102,22
49,1,4/2/2021,Dallas Mavericks,L,86,99,2
50,1,4/3/2021,Detroit Pistons,W,125,81,16
51,1,4/5/2021,Brooklyn Nets,L,112,114,20
52,1,4/7/2021,Boston Celtics,L,99,101,7
53,1,4/9/2021,Memphis Grizzlies,W,133,129,2
54,1,4/11/2021,Toronto Raptors,W,102,96,2
55,1,4/12/2021,Los Angeles Lakers,W,111,96,2
56,1,4/14/2021,New Orleans Pelicans,W,116,106,23
57,1,4/16/2021,Dallas Mavericks,W,117,109,24
