MatchNumber,PlayerID,StatsValue,StatsID
1,1,6,1
1,1,12,2
1,1,0.5,3
1,1,2,4
1,1,4,5
1,1,0.5,6
1,1,8,7
1,1,9,8
1,1,0.889,9
1,1,0,10
1,1,4,11
1,1,3,12
1,1,1,13
1,1,1,14
1,1,1,15
1,1,3,16
2,1,6,1
2,1,13,2
2,1,0.462,3
2,1,4,4
2,1,6,5
2,1,0.667,6
2,1,6,7
2,1,6,8
2,1,1,9
2,1,0,10
2,1,5,11
2,1,3,12
2,1,2,13
2,1,1,14
2,1,5,15
2,1,4,16
73,11,5,1
73,11,5,2
73,11,1,3
73,11,0,4
73,11,0,5
73,11,,6
73,11,1,7
73,11,4,8
73,11,0.25,9
73,11,5,10
73,11,17,11
73,11,3,12
73,11,0,13
73,11,2,14
73,11,1,15
73,11,2,16
74,11,3,1
74,11,5,2
74,11,0.6,3
74,11,0,4
74,11,0,5
74,11,,6
74,11,0,7
74,11,0,8
74,11,,9
74,11,4,10
74,11,9,11
74,11,0,12
74,11,0,13
74,11,0,14
74,11,1,15
74,11,5,16
3,1,5,1
3,1,7,2
3,1,0.714,3
3,1,4,4
3,1,5,5
3,1,0.8,6
3,1,4,7
3,1,5,8
3,1,0.8,9
3,1,0,10
3,1,2,11
3,1,5,12
3,1,0,13
3,1,0,14
3,1,1,15
3,1,3,16
